keys,en,CN
LOCALE_CONTENT_30,"You run after the helicopter but it is going very fast.You have to go up the mountain,and you walk all day in the deep snow,but you don't see the helicopter again.",你追赶直升机，但它飞得很快。你必须上山，在深雪中走一整天，但你再也看不到直升机了。
LOCALE_CONTENT_31,The smoke goes up into the sky all day.But you don't see the helicopter.You wait all day.The next morning you wake up early again.,烟整天都升到天上。但你看不到直升机。你等了一整天。第二天早上，你又醒得很早。
LOCALE_CONTENT_32,You stay near the plane. You sit by the fire and watch the sky for two days. Nothing happens.,你待在飞机附近。你坐在炉火旁，看了两天的天空。什么都没发生。
LOCALE_CONTENT_33,You walk into the tunnel.It's very dark.You see a lamp and you light it.,你走进隧道。天很黑。你看到一盏灯，就把它点燃了。
LOCALE_CONTENT_34,"You want to get warm, so you drink the whisky. But you don't get warm, you just feel tired, very tired.",你想暖和一下，所以你喝了威士忌。但你没有得到温暖，你只是觉得累了，非常累。
LOCALE_CONTENT_35,You build a big fire. There is a lot of smoke. You watch it go up into the sky.,你制造了一场大火。有很多烟。你看着它飞向天空。
LOCALE_CONTENT_36,"You sit all night in the trees in front of your fire.It is cold,but you have a good fire.You can sleep a little.You need to think about what you can do in the morning.",你整晚都坐在炉火前的树上。天气很冷，但你有一堆好火。你可以睡一会儿。你需要考虑早上能做什么。
LOCALE_CONTENT_37,You shout at the helicopter and wave your arms. The helicopter turns and comes back for a minute. Then it starts to go up the mountain.,你对着直升机大喊大叫，挥舞着双臂。直升机转弯后回来了一分钟。然后它开始上山。
LOCALE_CONTENT_38,You walk all round the lake.You are very tired and you don't find anything to eat.You must go to down the river.,你绕着湖走。你很累，找不到任何东西吃。你必须顺流而下。
LOCALE_CONTENT_39,You walk in the tracks for a long way through the trees. They go behind a big tree. You look behind the tree and you see a very big bear. You don't think you can eat this. You walk quietly away.,你在小径上穿过树林走了很长一段路。他们走到一棵大树后面。你往树后面看，你看到一只非常大的熊。你认为你不能吃这个。你悄悄地走开了。
LOCALE_CONTENT_40,You walk down into the mountain for about ten minutes.You come to a big hole in the ground.There is an old rope in the hole.,你步行到山上大约十分钟。你来到地上的一个大洞。洞里有一根旧绳子。
LOCALE_NEXT,Next,继续
LOCALE_CHOICE_2_1,You go back to the plane and get some different things.,你回到飞机上，得到一些不同的东西。
LOCALE_CHOICE_2_2,You want to get warm and you drink the whisky.,你想暖和一下，就喝了威士忌。
LOCALE_CHOICE_7_1,You run after the helicopter.,你追着直升机跑。
LOCALE_CHOICE_7_2,You go back to sleep.,你回去睡觉了。
LOCALE_CHOICE_7_3,You build a big fire.,你制造了一场大火。
LOCALE_CHOICE_7_4,You shout at the helicopter and wave your arms.,你对着直升机大喊大叫，挥舞着双臂。
LOCALE_CHOICE_8_1,You walk after the tracks.,你沿着踪迹走。
LOCALE_CHOICE_8_2,You are afraid of big animals. Perhaps the animal is dangerous. You walk down the mountain.,你害怕大动物。也许这只动物很危险。你走下山去。
LOCALE_CHOICE_9_1,You go back to the plane and get some different things.,你回到飞机上，拿一些不同的东西。
LOCALE_CHOICE_9_2,You go back to the plane and get the whisky.,你回到飞机上，拿了威士忌。
LOCALE_CHOICE_13_1,You drink the whisky.,你喝了威士忌。
LOCALE_CHOICE_13_2,"You go back to the plane,leave the whisky and take the coat.",你回到飞机上，留下威士忌，拿上外套。
LOCALE_CHOICE_14_1,You try and catch a fish through the ice.,你试着在冰里抓一条鱼。
LOCALE_CHOICE_14_2,Finshing in the river si very dangerous. You walk on.,在河里钓鱼很危险。你继续走。
LOCALE_CHOICE_15_1,You stay in the plane.,你留在飞机上。
LOCALE_CHOICE_15_2,You go down the mountain.,你下山去。
LOCALE_CHOICE_16_1,You go on down the valley.,你继续沿着山谷往下走。
LOCALE_CHOICE_16_2,You go back up the valley and into the tunnel.,你回到山谷，进入隧道。
LOCALE_CHOICE_17_1,You eat the fruit.,你吃了水果。
LOCALE_CHOICE_17_2,You don't eat the fruit.,你没吃水果。
LOCALE_CHOICE_18_1,You go on across the lake.,你继续穿过湖。
LOCALE_CHOICE_18_2,You go back and walk around the lake.,你回去绕着湖走。
LOCALE_CHOICE_20_1,You turn to the right.,你向右转。
LOCALE_CHOICE_20_2,You turn to the left.,你向左转。
LOCALE_CHOICE_21_1,You try and catch a fish.,你试着抓一条鱼。
LOCALE_CHOICE_21_2,You eat some fruit.,你吃了点水果。
LOCALE_CHOICE_23_1,"You walk across the lake. It's quicker, and you must find something to eat.",你穿过湖。它更快，你必须找点吃的。
LOCALE_CHOICE_23_2,You walk around the lake. You can look for a river.,你绕着湖走。你可以找一条河。
LOCALE_CHOICE_27_1,You go down the valley.,你沿着山谷往下走。
LOCALE_CHOICE_27_2,You go into the tunnel.,你进入隧道。
LOCALE_CHOICE_28_1,You go on around the lake.,你继续绕着湖走。
LOCALE_CHOICE_28_2,You walk down the river.,你沿着河边走。
LOCALE_CHOICE_29_1,"The coat,the whisky,and the map.",外套、威士忌和地图。
LOCALE_CHOICE_29_2,"The coat,the bananas,and the cigarette lighter.",外套、香蕉和打火机。
LOCALE_CHOICE_29_3,"The bananas,the cigarette lighter,and the map.",香蕉、打火机和地图。
LOCALE_CHOICE_29_4,"The whisky,the cigarette lighter,and the bananas.",威士忌、打火机和香蕉。
LOCALE_CHOICE_30_1,You build another fire.,你生了另一堆火。
LOCALE_CHOICE_30_2,You walk down the river.,你沿着河边走。
LOCALE_CHOICE_32_1,You stay near the plane.,你待在飞机附近。
LOCALE_CHOICE_32_2,You try and go down the mountain.,你试着下山。
LOCALE_CHOICE_36_1,You stay near the plane with a fire.,你待在飞机附近，生了一堆火。
LOCALE_CHOICE_36_2,You go down the mountain.,你下山去。
LOCALE_CHOICE_37_1,You run after the helicopter.,你追着直升机跑。
LOCALE_CHOICE_37_2,You go back to sleep.,你回去睡觉了。
LOCALE_CHOICE_37_3,You build a big fire.,你制造了一场大火。
LOCALE_CHOICE_40_1,You go down the rope.,你顺着绳子往下走。
LOCALE_CHOICE_40_2,You go back up the tunnel.,你回到隧道上去。
